date,state,pledges
5/11/10,Johor,0
5/12/10,Johor,0
5/13/10,Johor,0
5/14/10,Johor,1
5/15/10,Johor,6
5/16/10,Johor,5
5/17/10,Johor,0
5/18/10,Johor,8
5/19/10,Johor,0
5/20/10,Johor,0
5/21/10,Johor,1
5/22/10,Johor,2
5/23/10,Johor,2
5/24/10,Johor,2
5/25/10,Johor,1
5/26/10,Johor,0
5/27/10,Johor,0
5/28/10,Johor,0
5/29/10,Johor,0
5/30/10,Johor,0
5/31/10,Johor,1
6/1/10,Johor,0
6/2/10,Johor,0
6/3/10,Johor,0
6/4/10,Johor,1
6/5/10,Johor,1
6/6/10,Johor,8
6/7/10,Johor,0
6/8/10,Johor,0
6/9/10,Johor,0
6/10/10,Johor,2
6/11/10,Johor,0
6/12/10,Johor,1
6/13/10,Johor,0
6/14/10,Johor,0
6/15/10,Johor,0
6/16/10,Johor,0
6/17/10,Johor,0
6/18/10,Johor,0
6/19/10,Johor,0
6/20/10,Johor,1
6/21/10,Johor,0
6/22/10,Johor,0
6/23/10,Johor,0
6/24/10,Johor,0
6/25/10,Johor,0
6/26/10,Johor,1
6/27/10,Johor,2
6/28/10,Johor,0
6/29/10,Johor,0
6/30/10,Johor,0
7/1/10,Johor,1
7/2/10,Johor,0
7/3/10,Johor,4
7/4/10,Johor,5
7/5/10,Johor,0
7/6/10,Johor,0
7/7/10,Johor,8
7/8/10,Johor,5
7/9/10,Johor,2
7/10/10,Johor,0
7/11/10,Johor,5
7/12/10,Johor,9
7/13/10,Johor,17
7/14/10,Johor,23
7/15/10,Johor,0
7/16/10,Johor,23
7/17/10,Johor,1
7/18/10,Johor,1
7/19/10,Johor,4
7/20/10,Johor,0
7/21/10,Johor,0
7/22/10,Johor,2
7/23/10,Johor,4
7/24/10,Johor,3
7/25/10,Johor,0
7/26/10,Johor,17
7/27/10,Johor,0
7/28/10,Johor,1
7/29/10,Johor,2
7/30/10,Johor,2
7/31/10,Johor,0
8/1/10,Johor,2
8/2/10,Johor,1
8/3/10,Johor,1
8/4/10,Johor,1
8/5/10,Johor,6
8/6/10,Johor,2
8/7/10,Johor,26
8/8/10,Johor,35
8/9/10,Johor,12
8/10/10,Johor,0
8/11/10,Johor,0
8/12/10,Johor,2
8/13/10,Johor,20
8/14/10,Johor,3
8/15/10,Johor,39
8/16/10,Johor,50
8/17/10,Johor,67
8/18/10,Johor,52
8/19/10,Johor,31
8/20/10,Johor,9
8/21/10,Johor,0
8/22/10,Johor,24
8/23/10,Johor,2
8/24/10,Johor,19
8/25/10,Johor,32
8/26/10,Johor,0
8/27/10,Johor,10
8/28/10,Johor,0
8/29/10,Johor,6
8/30/10,Johor,28
8/31/10,Johor,14
9/1/10,Johor,1
9/2/10,Johor,26
9/3/10,Johor,5
9/4/10,Johor,8
9/5/10,Johor,8
9/6/10,Johor,2
9/7/10,Johor,13
9/8/10,Johor,3
9/9/10,Johor,3
9/10/10,Johor,0
9/11/10,Johor,0
9/12/10,Johor,0
9/13/10,Johor,0
9/14/10,Johor,3
9/15/10,Johor,0
9/16/10,Johor,19
9/17/10,Johor,2
9/18/10,Johor,9
9/19/10,Johor,1
9/20/10,Johor,0
9/21/10,Johor,1
9/22/10,Johor,1
9/23/10,Johor,4
9/24/10,Johor,1
9/25/10,Johor,5
9/26/10,Johor,21
9/27/10,Johor,1
9/28/10,Johor,4
9/29/10,Johor,3
9/30/10,Johor,2
10/1/10,Johor,2
10/2/10,Johor,0
10/3/10,Johor,3
10/4/10,Johor,5
10/5/10,Johor,1
10/6/10,Johor,4
10/7/10,Johor,2
10/8/10,Johor,1
10/9/10,Johor,0
10/10/10,Johor,2
10/11/10,Johor,7
10/12/10,Johor,3
10/13/10,Johor,6
10/14/10,Johor,7
10/15/10,Johor,2
10/16/10,Johor,4
10/17/10,Johor,18
10/18/10,Johor,3
10/19/10,Johor,2
10/20/10,Johor,7
10/21/10,Johor,6
10/22/10,Johor,1
10/23/10,Johor,4
10/24/10,Johor,9
10/25/10,Johor,6
10/26/10,Johor,1
10/27/10,Johor,5
10/28/10,Johor,2
10/29/10,Johor,2
10/30/10,Johor,3
10/31/10,Johor,6
11/1/10,Johor,4
11/2/10,Johor,0
11/3/10,Johor,19
11/4/10,Johor,0
11/5/10,Johor,1
11/6/10,Johor,0
11/7/10,Johor,0
11/8/10,Johor,50
11/9/10,Johor,71
11/10/10,Johor,39
11/11/10,Johor,0
11/12/10,Johor,8
11/13/10,Johor,7
11/14/10,Johor,2
11/15/10,Johor,53
11/16/10,Johor,16
11/17/10,Johor,0
11/18/10,Johor,2
11/19/10,Johor,18
11/20/10,Johor,5
11/21/10,Johor,21
11/22/10,Johor,28
11/23/10,Johor,14
11/24/10,Johor,0
11/25/10,Johor,1
11/26/10,Johor,0
11/27/10,Johor,0
11/28/10,Johor,3
11/29/10,Johor,46
11/30/10,Johor,29
12/1/10,Johor,0
12/2/10,Johor,14
12/3/10,Johor,23
12/4/10,Johor,3
12/5/10,Johor,5
12/6/10,Johor,4
12/7/10,Johor,0
12/8/10,Johor,8
12/9/10,Johor,4
12/10/10,Johor,8
12/11/10,Johor,0
12/12/10,Johor,8
12/13/10,Johor,4
12/14/10,Johor,10
12/15/10,Johor,22
12/16/10,Johor,1
12/17/10,Johor,20
12/18/10,Johor,3
12/19/10,Johor,8
12/20/10,Johor,47
12/21/10,Johor,30
12/22/10,Johor,9
12/23/10,Johor,3
12/24/10,Johor,10
12/25/10,Johor,1
12/26/10,Johor,0
12/27/10,Johor,9
12/28/10,Johor,28
12/29/10,Johor,4
12/30/10,Johor,2
12/31/10,Johor,0
1/1/11,Johor,3
1/2/11,Johor,14
1/3/11,Johor,5
1/4/11,Johor,10
1/5/11,Johor,7
1/6/11,Johor,5
1/7/11,Johor,2
1/8/11,Johor,6
1/9/11,Johor,2
1/10/11,Johor,9
1/11/11,Johor,40
1/12/11,Johor,61
1/13/11,Johor,78
1/14/11,Johor,22
1/15/11,Johor,1
1/16/11,Johor,7
1/17/11,Johor,3
1/18/11,Johor,26
1/19/11,Johor,58
1/20/11,Johor,5
1/21/11,Johor,12
1/22/11,Johor,1
1/23/11,Johor,2
1/24/11,Johor,2
1/25/11,Johor,21
1/26/11,Johor,31
1/27/11,Johor,31
1/28/11,Johor,7
1/29/11,Johor,0
1/30/11,Johor,0
1/31/11,Johor,4
2/1/11,Johor,0
2/2/11,Johor,3
2/3/11,Johor,0
2/4/11,Johor,2
2/5/11,Johor,0
2/6/11,Johor,5
2/7/11,Johor,3
2/8/11,Johor,11
2/9/11,Johor,7
2/10/11,Johor,14
2/11/11,Johor,9
2/12/11,Johor,2
2/13/11,Johor,3
2/14/11,Johor,6
2/15/11,Johor,1
2/16/11,Johor,9
2/17/11,Johor,7
2/18/11,Johor,7
2/19/11,Johor,1
2/20/11,Johor,38
2/21/11,Johor,6
2/22/11,Johor,5
2/23/11,Johor,8
2/24/11,Johor,65
2/25/11,Johor,106
2/26/11,Johor,1
2/27/11,Johor,9
2/28/11,Johor,6
3/1/11,Johor,29
3/2/11,Johor,20
3/3/11,Johor,48
3/4/11,Johor,10
3/5/11,Johor,55
3/6/11,Johor,29
3/7/11,Johor,9
3/8/11,Johor,93
3/9/11,Johor,107
3/10/11,Johor,44
3/11/11,Johor,71
3/12/11,Johor,3
3/13/11,Johor,13
3/14/11,Johor,125
3/15/11,Johor,67
3/16/11,Johor,36
3/17/11,Johor,10
3/18/11,Johor,26
3/19/11,Johor,19
3/20/11,Johor,28
3/21/11,Johor,88
3/22/11,Johor,122
3/23/11,Johor,36
3/24/11,Johor,35
3/25/11,Johor,45
3/26/11,Johor,6
3/27/11,Johor,24
3/28/11,Johor,14
3/29/11,Johor,17
3/30/11,Johor,37
3/31/11,Johor,33
4/1/11,Johor,24
4/2/11,Johor,15
4/3/11,Johor,8
4/4/11,Johor,8
4/5/11,Johor,17
4/6/11,Johor,71
4/7/11,Johor,44
4/8/11,Johor,31
4/9/11,Johor,19
4/10/11,Johor,70
4/11/11,Johor,39
4/12/11,Johor,45
4/13/11,Johor,39
4/14/11,Johor,40
4/15/11,Johor,17
4/16/11,Johor,21
4/17/11,Johor,21
4/18/11,Johor,72
4/19/11,Johor,24
4/20/11,Johor,7
4/21/11,Johor,41
4/22/11,Johor,21
4/23/11,Johor,15
4/24/11,Johor,17
4/25/11,Johor,81
4/26/11,Johor,60
4/27/11,Johor,54
4/28/11,Johor,2
4/29/11,Johor,4
4/30/11,Johor,4
5/1/11,Johor,24
5/2/11,Johor,0
5/3/11,Johor,33
5/4/11,Johor,6
5/5/11,Johor,15
5/6/11,Johor,2
5/7/11,Johor,0
5/8/11,Johor,29
5/9/11,Johor,50
5/10/11,Johor,21
5/11/11,Johor,26
5/12/11,Johor,29
5/13/11,Johor,7
5/14/11,Johor,19
5/15/11,Johor,31
5/16/11,Johor,2
5/17/11,Johor,36
5/18/11,Johor,37
5/19/11,Johor,3
5/20/11,Johor,3
5/21/11,Johor,29
5/22/11,Johor,17
5/23/11,Johor,0
5/24/11,Johor,32
5/25/11,Johor,2
5/26/11,Johor,12
5/27/11,Johor,19
5/28/11,Johor,1
5/29/11,Johor,1
5/30/11,Johor,3
5/31/11,Johor,2
6/1/11,Johor,0
6/2/11,Johor,2
6/3/11,Johor,1
6/4/11,Johor,11
6/5/11,Johor,8
6/6/11,Johor,8
6/7/11,Johor,6
6/8/11,Johor,1
6/9/11,Johor,0
6/10/11,Johor,1
6/11/11,Johor,22
6/12/11,Johor,5
6/13/11,Johor,0
6/14/11,Johor,4
6/15/11,Johor,0
6/16/11,Johor,3
6/17/11,Johor,1
6/18/11,Johor,0
6/19/11,Johor,14
6/20/11,Johor,1
6/21/11,Johor,1
6/22/11,Johor,3
6/23/11,Johor,1
6/24/11,Johor,4
6/25/11,Johor,32
6/26/11,Johor,6
6/27/11,Johor,2
6/28/11,Johor,5
6/29/11,Johor,6
6/30/11,Johor,11
7/1/11,Johor,0
7/2/11,Johor,10
7/3/11,Johor,1
7/4/11,Johor,9
7/5/11,Johor,0
7/6/11,Johor,4
7/7/11,Johor,1
7/8/11,Johor,6
7/9/11,Johor,4
7/10/11,Johor,20
7/11/11,Johor,2
7/12/11,Johor,8
7/13/11,Johor,2
7/14/11,Johor,0
7/15/11,Johor,2
7/16/11,Johor,4
7/17/11,Johor,35
7/18/11,Johor,1
7/19/11,Johor,1
7/20/11,Johor,3
7/21/11,Johor,1
7/22/11,Johor,3
7/23/11,Johor,8
7/24/11,Johor,25
7/25/11,Johor,2
7/26/11,Johor,11
7/27/11,Johor,4
7/28/11,Johor,3
7/29/11,Johor,11
7/30/11,Johor,14
7/31/11,Johor,32
8/1/11,Johor,1
8/2/11,Johor,1
8/3/11,Johor,2
8/4/11,Johor,21
8/5/11,Johor,0
8/6/11,Johor,11
8/7/11,Johor,12
8/8/11,Johor,16
8/9/11,Johor,3
8/10/11,Johor,4
8/11/11,Johor,4
8/12/11,Johor,2
8/13/11,Johor,12
8/14/11,Johor,4
8/15/11,Johor,2
8/16/11,Johor,9
8/17/11,Johor,0
8/18/11,Johor,1
8/19/11,Johor,1
8/20/11,Johor,1
8/21/11,Johor,35
8/22/11,Johor,2
8/23/11,Johor,1
8/24/11,Johor,2
8/25/11,Johor,8
8/26/11,Johor,2
8/27/11,Johor,0
8/28/11,Johor,4
8/29/11,Johor,0
8/30/11,Johor,0
8/31/11,Johor,0
9/1/11,Johor,0
9/2/11,Johor,1
9/3/11,Johor,3
9/4/11,Johor,0
9/5/11,Johor,1
9/6/11,Johor,0
9/7/11,Johor,15
9/8/11,Johor,10
9/9/11,Johor,0
9/10/11,Johor,6
9/11/11,Johor,16
9/12/11,Johor,4
9/13/11,Johor,3
9/14/11,Johor,2
9/15/11,Johor,19
9/16/11,Johor,1
9/17/11,Johor,2
9/18/11,Johor,14
9/19/11,Johor,31
9/20/11,Johor,27
9/21/11,Johor,21
9/22/11,Johor,2
9/23/11,Johor,0
9/24/11,Johor,17
9/25/11,Johor,28
9/26/11,Johor,1
9/27/11,Johor,6
9/28/11,Johor,4
9/29/11,Johor,13
9/30/11,Johor,5
10/1/11,Johor,20
10/2/11,Johor,13
10/3/11,Johor,1
10/4/11,Johor,24
10/5/11,Johor,40
10/6/11,Johor,5
10/7/11,Johor,3
10/8/11,Johor,17
10/9/11,Johor,8
10/10/11,Johor,10
10/11/11,Johor,5
10/12/11,Johor,2
10/13/11,Johor,2
10/14/11,Johor,3
10/15/11,Johor,2
10/16/11,Johor,6
10/17/11,Johor,32
10/18/11,Johor,12
10/19/11,Johor,13
10/20/11,Johor,25
10/21/11,Johor,10
10/22/11,Johor,20
10/23/11,Johor,20
10/24/11,Johor,7
10/25/11,Johor,12
10/26/11,Johor,5
10/27/11,Johor,9
10/28/11,Johor,9
10/29/11,Johor,21
10/30/11,Johor,26
10/31/11,Johor,0
11/1/11,Johor,12
11/2/11,Johor,6
11/3/11,Johor,7
11/4/11,Johor,4
11/5/11,Johor,0
11/6/11,Johor,0
11/7/11,Johor,3
11/8/11,Johor,2
11/9/11,Johor,4
11/10/11,Johor,1
11/11/11,Johor,5
11/12/11,Johor,39
11/13/11,Johor,10
11/14/11,Johor,3
11/15/11,Johor,13
11/16/11,Johor,6
11/17/11,Johor,24
11/18/11,Johor,22
11/19/11,Johor,14
11/20/11,Johor,28
11/21/11,Johor,5
11/22/11,Johor,2
11/23/11,Johor,2
11/24/11,Johor,12
11/25/11,Johor,3
11/26/11,Johor,36
11/27/11,Johor,22
11/28/11,Johor,2
11/29/11,Johor,9
11/30/11,Johor,4
12/1/11,Johor,9
12/2/11,Johor,3
12/3/11,Johor,16
12/4/11,Johor,15
12/5/11,Johor,2
12/6/11,Johor,11
12/7/11,Johor,14
